time_stamp	x	y	v	theta	omega	measure_x	measure_y	predict_x	predict_y	predict_v	predict_theta	predict_omega	true_x	true_y	true_v
1477010443050000	0.862916	0.534212	0	0	0	0.862916	0.534212	0	0	0	0	0	0.859997	0.600045	5.19975
1477010443150000	0.741679	-0.0458243	4.68604	4.70053e-17	-7.89675e-17	0.969149	0.397513	0.862916	0.534212	1.38778e-17	1.45283e-17	-2.77556e-17	1.37996	0.600629	5.19899
1477010443250000	1.90165	0.636912	5.1154	0.0702021	-0.022386	1.62331	0.499091	1.02557	-0.0458243	4.68604	3.79471e-17	-5.55112e-17	1.89982	0.60247	5.19773
1477010443350000	2.25972	0.628093	5.30575	0.284353	0.0200772	1.96701	0.557116	2.25023	0.663491	5.1154	0.0679635	-0.022386	2.41954	0.606284	5.19597
1477010443450000	2.81441	0.643685	5.33402	-0.00586059	-0.113265	2.92034	0.645898	2.69268	0.75537	5.30575	0.28636	0.0200772	2.93904	0.612786	5.19372
1477010443550000	3.36744	0.515352	5.42093	-0.167333	-0.248282	3.56096	0.485311	3.33283	0.637664	5.33402	-0.0171871	-0.113265	3.45825	0.622686	5.19097
1477010443650000	3.95952	0.591666	5.41036	0.00536189	0.305661	4.19786	0.698311	3.89254	0.418939	5.42093	-0.192161	-0.248282	3.97708	0.636689	5.18775
1477010443750000	4.50303	0.646688	5.33648	0.0760665	0.404966	4.61908	0.68951	4.49305	0.601312	5.41036	0.035928	0.305661	4.49542	0.655498	5.18405
1477010443850000	5.03086	0.676966	5.22998	0.0945181	0.349562	5.20902	0.66599	5.0257	0.696144	5.33648	0.116563	0.404966	5.01316	0.679804	5.17988
1477010443950000	5.52245	0.692698	5.29172	0.0946827	0.268829	5.22835	0.639362	5.5423	0.73396	5.22998	0.129474	0.349562	5.53013	0.710295	5.17526
1477010444050000	6.02647	0.545144	5.20313	-0.0495061	-0.0800396	5.89392	0.373584	6.04102	0.748779	5.29172	0.121566	0.268829	6.04618	0.747646	5.1702
1477010444150000	6.53447	0.66837	5.16476	0.0529184	0.115004	6.62134	0.836138	6.53977	0.517588	5.20313	-0.0575101	-0.0800396	6.56111	0.792523	5.16471
1477010444250000	7.04619	0.656813	5.06267	0.0338682	0.0648635	7.29121	0.630741	7.04508	0.698079	5.16476	0.0644189	0.115004	7.07469	0.845578	5.1588
1477010444350000	7.62407	0.726547	5.20172	0.0708562	0.112581	8.08349	0.819605	7.54787	0.675246	5.06267	0.0403545	0.0648635	7.58668	0.907449	5.15249
1477010444450000	8.13714	0.807701	5.10985	0.105896	0.145441	8.40453	0.884557	8.1389	0.765832	5.20172	0.0821144	0.112581	8.0968	0.978758	5.14579
1477010444550000	8.63995	1.08039	5.22317	0.234034	0.288568	8.45858	1.41118	8.64149	0.864917	5.10985	0.12044	0.145441	8.60472	1.06011	5.13873
1477010444650000	9.22358	1.15941	5.28501	0.232935	0.250833	9.8809	1.1419	9.14314	1.20802	5.22317	0.262891	0.288568	9.1101	1.15208	5.13132
1477010444750000	9.76827	1.35053	5.33771	0.284022	0.279293	10.1016	1.52474	9.73336	1.28726	5.28501	0.258019	0.250833	9.61255	1.25524	5.12357
1477010444850000	10.2646	1.58786	5.26159	0.354781	0.335623	10.5377	1.72555	10.2758	1.50662	5.33771	0.311951	0.279293	10.1116	1.37011	5.11551
1477010444950000	10.7312	1.78269	5.14214	0.403175	0.366869	10.9084	1.70343	10.7523	1.7782	5.26159	0.388343	0.335623	10.6069	1.49721	5.10717
1477010445050000	11.2615	1.80823	5.15371	0.357471	0.274176	11.4783	1.42876	11.1979	1.99242	5.14214	0.439862	0.366869	11.0979	1.637	5.09855
